mal_id,korean_name,english_name,japaneses_name,production_company,genre,themes,demographics,special,animelist_url,rating,alternate_titles,small_image_url,large_image_url,image_url,trailer_url,score,scored_by,members,year,season,favorites,episodes,anime_type,source,check_sum
40974,곰 곰 곰 베어,Kuma Kuma Kuma Bear,くまクマ熊ベアー,EMT Squared,"Adventure, Comedy, Fantasy",Isekai,,,https://myanimelist.net/anime/40974/Kuma_Kuma_Kuma_Bear,PG-13 - Teens 13 or older,"곰 곰 곰 베어,kuma kuma kuma bear,くまクマ熊ベアー",https://cdn.myanimelist.net/images/anime/1413/110712t.jpg,https://cdn.myanimelist.net/images/anime/1413/110712l.jpg,https://cdn.myanimelist.net/images/anime/1413/110712.jpg,https://www.youtube.com/watch?v=yCt-m4fhynM,7.23,85082,170977,2020,fall,993,12,TV,Light novel,Kuma Kuma Kuma Bear
37579,이웃집 흡혈귀 씨,Vampire Who Lives in My Neighborhood,となりの吸血鬼さん,"Studio Gokumi, AXsiZ","Comedy, Supernatural","CGDCT, Vampire",,,https://myanimelist.net/anime/37579/Tonari_no_Kyuuketsuki-san,PG-13 - Teens 13 or older,"이웃집 흡혈귀 씨,vampire who lives in my neighborhood,となりの吸血鬼さん",https://cdn.myanimelist.net/images/anime/1851/96154t.jpg,https://cdn.myanimelist.net/images/anime/1851/96154l.jpg,https://cdn.myanimelist.net/images/anime/1851/96154.jpg,https://www.youtube.com/watch?v=WNtmFBt3yzM,7.09,44379,109827,2018,fall,339,12,TV,4-koma manga,Tonari no Kyuuketsuki-san
37993,나에게 천사가 내려왔다!,Wataten!: An Angel Flew Down to Me?,私に天使が舞い降りた！,Doga Kobo,Comedy,"CGDCT, Otaku Culture",,,https://myanimelist.net/anime/37993/Watashi_ni_Tenshi_ga_Maiorita,PG-13 - Teens 13 or older,"나에게 천사가 내려왔다!,wataten! an angel flew down to me?,私に天使が舞い降りた！",https://cdn.myanimelist.net/images/anime/1778/100470t.jpg,https://cdn.myanimelist.net/images/anime/1778/100470l.jpg,https://cdn.myanimelist.net/images/anime/1778/100470.jpg,https://www.youtube.com/watch?v=xDXorSZaCHU,7.26,85367,207857,2019,winter,956,12,TV,4-koma manga,Watashi ni Tenshi ga Maiorita!
32901,에로망가 선생,Eromanga Sensei,エロマンガ先生,A-1 Pictures,"Comedy, Romance, Ecchi",Otaku Culture,,,https://myanimelist.net/anime/32901/Eromanga-sensei,PG-13 - Teens 13 or older,"에로망가 선생,eromanga sensei,エロマンガ先生",https://cdn.myanimelist.net/images/anime/2/86468t.jpg,https://cdn.myanimelist.net/images/anime/2/86468l.jpg,https://cdn.myanimelist.net/images/anime/2/86468.jpg,https://www.youtube.com/watch?v=TzBk9alIqPI,6.33,432351,734545,2017,spring,2734,12,TV,Light novel,Eromanga-sensei
56838,"원룸, 햇볕 보통, 천사 딸림.","Studio Apartment, Good Lighting, Angel Included.",ワンルーム、日当たり普通、天使つき。,Okuruto Noboru,"Comedy, Romance, Supernatural","Harem, Mythology, School",Shounen,,https://myanimelist.net/anime/56838/One_Room_Hiatari_Futsuu_Tenshi-tsuki,PG-13 - Teens 13 or older,"원룸 햇볕 보통 천사 딸림.,studio apartment good lighting angel included.,ワンルーム、日当たり普通、天使つき。,원룸, 햇볕 보통, 천사 딸림.,원룸, 햇볕 보통, 천사 딸림.,원룸, 햇볕 보통, 천사 딸림.,원룸, 햇볕 보통, 천사 딸림.,원룸, 햇볕 보통, 천사 딸림.",https://cdn.myanimelist.net/images/anime/1833/141321t.jpg,https://cdn.myanimelist.net/images/anime/1833/141321l.jpg,https://cdn.myanimelist.net/images/anime/1833/141321.jpg,https://www.youtube.com/watch?v=__TTX_CV-9M,7.04,26713,68591,2024,spring,336,12,TV,Manga,"One Room, Hiatari Futsuu, Tenshi-tsuki."
158,마리아님이 보고 계셔,Maria Watches Over Us,マリア様がみてる,Studio Deen,"Drama, Girls Love",School,Shoujo,,https://myanimelist.net/anime/158/Maria-sama_ga_Miteru,PG-13 - Teens 13 or older,"마리아님이 보고 계셔,maria watches over us,マリア様がみてる",https://cdn.myanimelist.net/images/anime/1994/114208t.jpg,https://cdn.myanimelist.net/images/anime/1994/114208l.jpg,https://cdn.myanimelist.net/images/anime/1994/114208.jpg,,7.28,22450,72293,2004,winter,702,13,TV,Light novel,Maria-sama ga Miteru
53262,별무리 텔레패스,Stardust Telepath,星屑テレパス,Studio Gokumi,"Comedy, Supernatural","CGDCT, School",,,https://myanimelist.net/anime/53262/Hoshikuzu_Telepath,PG-13 - Teens 13 or older,"별무리 텔레패스,stardust telepath,星屑テレパス",https://cdn.myanimelist.net/images/anime/1020/139134t.jpg,https://cdn.myanimelist.net/images/anime/1020/139134l.jpg,https://cdn.myanimelist.net/images/anime/1020/139134.jpg,https://www.youtube.com/watch?v=-B0sYM95lb4,7.16,15358,53888,2023,fall,325,12,TV,4-koma manga,Hoshikuzu Telepath
53912,성우 라디오의 속사정,The Two Sides of Seiyuu Radio,声優ラジオのウラオモテ,Connect,"Comedy, Drama","School, Showbiz",,,https://myanimelist.net/anime/53912/Seiyuu_Radio_no_Uraomote,PG-13 - Teens 13 or older,"성우 라디오의 속사정,the two sides of seiyuu radio,声優ラジオのウラオモテ",https://cdn.myanimelist.net/images/anime/1253/141796t.jpg,https://cdn.myanimelist.net/images/anime/1253/141796l.jpg,https://cdn.myanimelist.net/images/anime/1253/141796.jpg,https://www.youtube.com/watch?v=Nl97E9tTd1A,6.98,16876,50320,2024,spring,162,12,TV,Light novel,Seiyuu Radio no Uraomote
54839,밤의 해파리는 헤엄칠 수 없어,JELLYFISH CAN'T SWIM IN THE NIGHT,夜のクラゲは泳げない,Doga Kobo,Drama,Music,,,https://myanimelist.net/anime/54839/Yoru_no_Kurage_wa_Oyogenai,PG-13 - Teens 13 or older,"밤의 해파리는 헤엄칠 수 없어,jellyfish cant swim in the night,夜のクラゲは泳げない",https://cdn.myanimelist.net/images/anime/1834/141827t.jpg,https://cdn.myanimelist.net/images/anime/1834/141827l.jpg,https://cdn.myanimelist.net/images/anime/1834/141827.jpg,https://www.youtube.com/watch?v=1sY76sX_kZQ,7.8,39280,107954,2024,spring,818,12,TV,Original,Yoru no Kurage wa Oyogenai
55102,걸즈 밴드 크라이,GIRLS BAND CRY,ガールズバンドクライ,Toei Animation,Drama,Music,,,https://myanimelist.net/anime/55102/Girls_Band_Cry,PG-13 - Teens 13 or older,"걸즈 밴드 크라이,girls band cry,ガールズバンドクライ",https://cdn.myanimelist.net/images/anime/1711/140515t.jpg,https://cdn.myanimelist.net/images/anime/1711/140515l.jpg,https://cdn.myanimelist.net/images/anime/1711/140515.jpg,https://www.youtube.com/watch?v=eIFTnaPXnRM,8.41,29599,82412,2024,spring,1697,13,TV,Original,Girls Band Cry
53770,전대대실격,Go! Go! Loser Ranger!,戦隊大失格,Yostar Pictures,"Action, Sci-Fi",,Shounen,,https://myanimelist.net/anime/53770/Sentai_Daishikkaku,PG-13 - Teens 13 or older,"전대대실격,go! go! loser ranger!,戦隊大失格",https://cdn.myanimelist.net/images/anime/1183/141489t.jpg,https://cdn.myanimelist.net/images/anime/1183/141489l.jpg,https://cdn.myanimelist.net/images/anime/1183/141489.jpg,https://www.youtube.com/watch?v=WA9Q4MBxD3s,7.34,53814,148805,2024,spring,701,12,TV,Manga,Sentai Daishikkaku
55265,"전생귀족, 감정 스킬로 성공하다","As a Reincarnated Aristocrat, I'll Use My Appraisal Skill to Rise in the World?",転生貴族、鑑定スキルで成り上がる,studio MOTHER,"Adventure, Fantasy","Isekai, Reincarnation",,,https://myanimelist.net/anime/55265/Tensei_Kizoku_Kantei_Skill_de_Nariagaru,PG-13 - Teens 13 or older,"전생귀족 감정 스킬로 성공하다,as a reincarnated aristocrat ill use my appraisal skill to rise in the world?,転生貴族、鑑定スキルで成り上がる,전생귀족, 감정 스킬로 성공하다,전생귀족, 감정 스킬로 성공하다,전생귀족, 감정 스킬로 성공하다,전생귀족, 감정 스킬로 성공하다,전생귀족, 감정 스킬로 성공하다",https://cdn.myanimelist.net/images/anime/1763/139538t.jpg,https://cdn.myanimelist.net/images/anime/1763/139538l.jpg,https://cdn.myanimelist.net/images/anime/1763/139538.jpg,https://www.youtube.com/watch?v=9-wiCnir-xQ,7.14,60834,130601,2024,spring,303,12,TV,Light novel,"Tensei Kizoku, Kantei Skill de Nariagaru"
53434,마왕인 내가 노예 엘프를 신부로 삼았는데 어떻게 사랑하면 되지?,An Archdemon's Dilemma : How to Love Your Elf Bride,魔王の俺が奴隷エルフを嫁にしたんだが、どう愛でればいい？,Brain's Base,"Action, Fantasy, Romance",,,,https://myanimelist.net/anime/53434/Maou_no_Ore_ga_Dorei_Elf_wo_Yome_ni_Shitanda_ga_Dou_Medereba_Ii,PG-13 - Teens 13 or older,"마왕인 내가 노예 엘프를 신부로 삼았는데 어떻게 사랑하면 되지?,an archdemons dilemma  how to love your elf bride,魔王の俺が奴隷エルフを嫁にしたんだが、どう愛でればいい？",https://cdn.myanimelist.net/images/anime/1346/141203t.jpg,https://cdn.myanimelist.net/images/anime/1346/141203l.jpg,https://cdn.myanimelist.net/images/anime/1346/141203.jpg,https://www.youtube.com/watch?v=M3lb8-qaaTk,7.29,70876,155005,2024,spring,617,12,TV,Light novel,"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?"
20785,마법과고교의 열등생,The Irregular at Magic High School,魔法科高校の劣等生,Madhouse,"Action, Fantasy, Romance, Sci-Fi","School, Urban Fantasy",,,https://myanimelist.net/anime/20785/Mahouka_Koukou_no_Rettousei,PG-13 - Teens 13 or older,"마법과고교의 열등생,the irregular at magic high school,魔法科高校の劣等生",https://cdn.myanimelist.net/images/anime/11/61039t.jpg,https://cdn.myanimelist.net/images/anime/11/61039l.jpg,https://cdn.myanimelist.net/images/anime/11/61039.jpg,https://www.youtube.com/watch?v=v5AOTuxt2XY,7.38,599588,1094663,2014,spring,11043,26,TV,Light novel,Mahouka Koukou no Rettousei
36266,마법소녀 사이트,Magical Girl Site,魔法少女サイト,production doA,"Action, Drama, Horror, Supernatural, Suspense","Gore, Mahou Shoujo, Psychological",,,https://myanimelist.net/anime/36266/Mahou_Shoujo_Site,R - 17+ (violence & profanity),"마법소녀 사이트,magical girl site,魔法少女サイト",https://cdn.myanimelist.net/images/anime/1720/95064t.jpg,https://cdn.myanimelist.net/images/anime/1720/95064l.jpg,https://cdn.myanimelist.net/images/anime/1720/95064.jpg,https://www.youtube.com/watch?v=ywv_moZemPk,6.52,100515,244700,2018,spring,1324,12,TV,Manga,Mahou Shoujo Site
37517,해피 슈가 라이프,Happy Sugar Life,ハッピーシュガーライフ,Ezόla,"Drama, Girls Love, Horror, Suspense","Gore, Psychological",Shounen,,https://myanimelist.net/anime/37517/Happy_Sugar_Life,R - 17+ (violence & profanity),"해피 슈가 라이프,happy sugar life,ハッピーシュガーライフ",https://cdn.myanimelist.net/images/anime/1386/103920t.jpg,https://cdn.myanimelist.net/images/anime/1386/103920l.jpg,https://cdn.myanimelist.net/images/anime/1386/103920.jpg,https://www.youtube.com/watch?v=lxjHUh5I5P4,6.77,142796,313157,2018,summer,2863,12,TV,Manga,Happy Sugar Life
2966,늑대와 향신료,Spice and Wolf,狼と香辛料,Imagin,"Adventure, Drama, Fantasy, Romance",Adult Cast,,"Kono Light Novel ga Sugoi!(2007,1),Kono Light Novel ga Sugoi!(2008,5),Kono Light Novel ga Sugoi!(2009,5)",https://myanimelist.net/anime/2966/Ookami_to_Koushinryou,PG-13 - Teens 13 or older,"늑대와 향신료,spice and wolf,狼と香辛料",https://cdn.myanimelist.net/images/anime/5/59401t.jpg,https://cdn.myanimelist.net/images/anime/5/59401l.jpg,https://cdn.myanimelist.net/images/anime/5/59401.jpg,,8.22,400690,835757,2008,winter,18042,13,TV,Light novel,Ookami to Koushinryou
10568,하느님의 메모장,Heaven's Memo Pad,神様のメモ帳,J.C.Staff,"Drama, Mystery",Detective,,"Kono Light Novel ga Sugoi!(2011,10)",https://myanimelist.net/anime/10568/Kamisama_no_Memochou,R - 17+ (violence & profanity),"하느님의 메모장,heavens memo pad,神様のメモ帳",https://cdn.myanimelist.net/images/anime/13/75202t.jpg,https://cdn.myanimelist.net/images/anime/13/75202l.jpg,https://cdn.myanimelist.net/images/anime/13/75202.jpg,https://www.youtube.com/watch?v=5qWB11LIwmE,7.47,96344,242696,2011,summer,797,12,TV,Light novel,Kamisama no Memochou
44037,"진정한 동료가 아니라며 용사 파티에서 쫓겨났기 때문에, 변경에서 슬로 라이프를 보내기로 했습니다","Banished From The Hero's Party, I Decided To Live A Quiet Life In The Countryside",真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました,"Studio Flad, Wolfsbane","Adventure, Fantasy, Romance",,,,https://myanimelist.net/anime/44037/Shin_no_Nakama_ja_Nai_to_Yuusha_no_Party_wo_Oidasareta_node_Henkyou_de_Slow_Life_suru_Koto_ni_Shimashita,PG-13 - Teens 13 or older,"진정한 동료가 아니라며 용사 파티에서 쫓겨났기 때문에 변경에서 슬로 라이프를 보내기로 했습니다,banished from the heros party i decided to live a quiet life in the countryside,真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました,진정한 동료가 아니라며 용사 파티에서 쫓겨났기 때문에, 변경에서 슬로 라이프를 보내기로 했습니다,진정한 동료가 아니라며 용사 파티에서 쫓겨났기 때문에, 변경에서 슬로 라이프를 보내기로 했습니다,진정한 동료가 아니라며 용사 파티에서 쫓겨났기 때문에, 변경에서 슬로 라이프를 보내기로 했습니다,진정한 동료가 아니라며 용사 파티에서 쫓겨났기 때문에, 변경에서 슬로 라이프를 보내기로 했습니다,진정한 동료가 아니라며 용사 파티에서 쫓겨났기 때문에, 변경에서 슬로 라이프를 보내기로 했습니다",https://cdn.myanimelist.net/images/anime/1723/117854t.jpg,https://cdn.myanimelist.net/images/anime/1723/117854l.jpg,https://cdn.myanimelist.net/images/anime/1723/117854.jpg,https://www.youtube.com/watch?v=Q-WDh396OEg,6.93,168046,349335,2021,fall,2072,13,TV,Light novel,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita"
52034,최애의 아이,OSHI NO KO,推しの子,Doga Kobo,"Award Winning, Drama","Reincarnation, Showbiz",Seinen,"Next Manga Awards(2021,1)",https://myanimelist.net/anime/52034/Oshi_no_Ko,PG-13 - Teens 13 or older,"최애의 아이,oshi no ko,推しの子",https://cdn.myanimelist.net/images/anime/1812/134736t.jpg,https://cdn.myanimelist.net/images/anime/1812/134736l.jpg,https://cdn.myanimelist.net/images/anime/1812/134736.jpg,https://www.youtube.com/watch?v=1yXa8MAmocQ,8.62,507192,869854,2023,spring,29075,11,TV,Manga,"""Oshi no Ko"""
37999,카구야 님은 고백받고 싶어 ~천재들의 연애 두뇌전~,Kaguya-sama:?Love Is War,かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜,A-1 Pictures,Comedy,"Love Status Quo, Psychological, School",Seinen,"Next Manga Awards(2017,1)",https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,PG-13 - Teens 13 or older,"카구야 님은 고백받고 싶어 천재들의 연애 두뇌전,kaguyasama?love is war,かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜,카구야 님은 고백받고 싶어 ~천재들의 연애 두뇌전~",https://cdn.myanimelist.net/images/anime/1295/106551t.jpg,https://cdn.myanimelist.net/images/anime/1295/106551l.jpg,https://cdn.myanimelist.net/images/anime/1295/106551.jpg,https://www.youtube.com/watch?v=Ti2kJ-GYO68,8.4,1123191,1787722,2019,winter,40206,12,TV,Manga,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
52736,전생 왕녀와 천재 영애의 마법 혁명,The Magical Revolution of Reincarnated Princess and Genius Young Lad,転生王女と天才令嬢の魔法革命,Diomedéa,"Fantasy, Girls Love","Isekai, Reincarnation",,,https://myanimelist.net/anime/52736/Tensei_Oujo_to_Tensai_Reijou_no_Mahou_Kakumei,PG-13 - Teens 13 or older,"전생 왕녀와 천재 영애의 마법 혁명,the magical revolution of reincarnated princess and genius young lad,転生王女と天才令嬢の魔法革命",https://cdn.myanimelist.net/images/anime/1053/129004t.jpg,https://cdn.myanimelist.net/images/anime/1053/129004l.jpg,https://cdn.myanimelist.net/images/anime/1053/129004.jpg,https://www.youtube.com/watch?v=vQPp6laLo0E,7.47,94997,200004,2023,winter,1562,12,TV,Light novel,Tensei Oujo to Tensai Reijou no Mahou Kakumei
38186,우리는 공부를 못해,We Never Learn,ぼくたちは勉強ができない,"Silver, Arvo Animation","Comedy, Romance","Harem, School",Shounen,,https://myanimelist.net/anime/38186/Bokutachi_wa_Benkyou_ga_Dekinai,PG-13 - Teens 13 or older,"우리는 공부를 못해,we never learn,ぼくたちは勉強ができない",https://cdn.myanimelist.net/images/anime/1602/100510t.jpg,https://cdn.myanimelist.net/images/anime/1602/100510l.jpg,https://cdn.myanimelist.net/images/anime/1602/100510.jpg,https://www.youtube.com/watch?v=CXQdqp6JFxI,7.27,233988,451482,2019,spring,1636,13,TV,Manga,Bokutachi wa Benkyou ga Dekinai
55877,괴짜의 샐러드 볼,SALAD BOWL OF ECCENTRICS,変人のサラダボウル,"SynergySP, Studio Comet","Comedy, Fantasy",,,,https://myanimelist.net/anime/55877/Henjin_no_Salad_Bowl,PG-13 - Teens 13 or older,"괴짜의 샐러드 볼,salad bowl of eccentrics,変人のサラダボウル",https://cdn.myanimelist.net/images/anime/1861/141482t.jpg,https://cdn.myanimelist.net/images/anime/1861/141482l.jpg,https://cdn.myanimelist.net/images/anime/1861/141482.jpg,https://www.youtube.com/watch?v=NWcAykaLqsc,7.29,24100,58508,2024,spring,147,12,TV,Light novel,Henjin no Salad Bowl
40052,그레이트 프리텐더,GREAT PRETENDER,GREAT PRETENDER,Wit Studio,"Action, Adventure, Mystery","Adult Cast, Organized Crime",,,https://myanimelist.net/anime/40052/Great_Pretender,R - 17+ (violence & profanity),"그레이트 프리텐더,great pretender,グレートプリテンダー",https://cdn.myanimelist.net/images/anime/1418/107954t.jpg,https://cdn.myanimelist.net/images/anime/1418/107954l.jpg,https://cdn.myanimelist.net/images/anime/1418/107954.jpg,https://www.youtube.com/watch?v=dr5yBBAR9Tg,8.21,330551,685923,2020,summer,10106,23,TV,Original,Great Pretender
35839,우주보다 먼 곳,A Place Further than the Universe,宇宙よりも遠い場所,Madhouse,"Adventure, Comedy, Drama",CGDCT,,"Japan Media Arts Festival(2019,4)",https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho,PG-13 - Teens 13 or older,"우주보다 먼 곳,a place further than the universe,宇宙そらよりも遠い場所,宇宙よりも遠い場所",https://cdn.myanimelist.net/images/anime/6/89879t.jpg,https://cdn.myanimelist.net/images/anime/6/89879l.jpg,https://cdn.myanimelist.net/images/anime/6/89879.jpg,https://www.youtube.com/watch?v=jFgvK5BzGck,8.51,222247,517233,2018,winter,14262,13,TV,Original,Sora yori mo Tooi Basho
29163,그것이 성우!,Seiyu's Life!,それが声優!,Gonzo,"Comedy, Slice of Life","Showbiz, Workplace",,,https://myanimelist.net/anime/29163/Sore_ga_Seiyuu,PG-13 - Teens 13 or older,"그것이 성우!,seiyus life!,それが声優!",https://cdn.myanimelist.net/images/anime/7/75198t.jpg,https://cdn.myanimelist.net/images/anime/7/75198l.jpg,https://cdn.myanimelist.net/images/anime/7/75198.jpg,https://www.youtube.com/watch?v=n8PVvfCEgA0,7.03,19313,55349,2015,summer,86,13,TV,Web manga,Sore ga Seiyuu!
